"year","period","periodName","value","seriesID","state"
"2011","M12","December","3.7","JTU000000010000000TSR","Alabama"
"2011","M11","November","3.2","JTU000000010000000TSR","Alabama"
"2011","M10","October","3.6","JTU000000010000000TSR","Alabama"
"2011","M09","September","3.2","JTU000000010000000TSR","Alabama"
"2011","M08","August","3.8","JTU000000010000000TSR","Alabama"
"2011","M07","July","3.5","JTU000000010000000TSR","Alabama"
"2011","M06","June","3.1","JTU000000010000000TSR","Alabama"
"2011","M05","May","3.6","JTU000000010000000TSR","Alabama"
"2011","M04","April","3.3","JTU000000010000000TSR","Alabama"
"2011","M03","March","2.5","JTU000000010000000TSR","Alabama"
"2011","M02","February","2.5","JTU000000010000000TSR","Alabama"
"2011","M01","January","3.4","JTU000000010000000TSR","Alabama"
"2010","M12","December","3.0","JTU000000010000000TSR","Alabama"
"2010","M11","November","2.7","JTU000000010000000TSR","Alabama"
"2010","M10","October","3.4","JTU000000010000000TSR","Alabama"
"2010","M09","September","3.0","JTU000000010000000TSR","Alabama"
"2010","M08","August","4.1","JTU000000010000000TSR","Alabama"
"2010","M07","July","3.6","JTU000000010000000TSR","Alabama"
"2010","M06","June","3.4","JTU000000010000000TSR","Alabama"
"2010","M05","May","3.2","JTU000000010000000TSR","Alabama"
"2010","M04","April","3.1","JTU000000010000000TSR","Alabama"
"2010","M03","March","2.5","JTU000000010000000TSR","Alabama"
"2010","M02","February","2.4","JTU000000010000000TSR","Alabama"
"2010","M01","January","3.3","JTU000000010000000TSR","Alabama"
"2009","M12","December","2.5","JTU000000010000000TSR","Alabama"
"2009","M11","November","2.9","JTU000000010000000TSR","Alabama"
"2009","M10","October","3.1","JTU000000010000000TSR","Alabama"
"2009","M09","September","3.1","JTU000000010000000TSR","Alabama"
"2009","M08","August","3.5","JTU000000010000000TSR","Alabama"
"2009","M07","July","3.5","JTU000000010000000TSR","Alabama"
"2009","M06","June","3.6","JTU000000010000000TSR","Alabama"
"2009","M05","May","3.1","JTU000000010000000TSR","Alabama"
"2009","M04","April","2.9","JTU000000010000000TSR","Alabama"
"2009","M03","March","2.4","JTU000000010000000TSR","Alabama"
"2009","M02","February","2.8","JTU000000010000000TSR","Alabama"
"2009","M01","January","4.5","JTU000000010000000TSR","Alabama"
"2008","M12","December","4.2","JTU000000010000000TSR","Alabama"
"2008","M11","November","3.4","JTU000000010000000TSR","Alabama"
"2008","M10","October","4.2","JTU000000010000000TSR","Alabama"
"2008","M09","September","3.3","JTU000000010000000TSR","Alabama"
"2008","M08","August","4.3","JTU000000010000000TSR","Alabama"
"2008","M07","July","3.6","JTU000000010000000TSR","Alabama"
"2008","M06","June","3.3","JTU000000010000000TSR","Alabama"
"2008","M05","May","3.5","JTU000000010000000TSR","Alabama"
"2008","M04","April","3.9","JTU000000010000000TSR","Alabama"
"2008","M03","March","2.8","JTU000000010000000TSR","Alabama"
"2008","M02","February","3.0","JTU000000010000000TSR","Alabama"
"2008","M01","January","4.1","JTU000000010000000TSR","Alabama"
"2007","M12","December","3.1","JTU000000010000000TSR","Alabama"
"2007","M11","November","2.9","JTU000000010000000TSR","Alabama"
"2007","M10","October","4.0","JTU000000010000000TSR","Alabama"
"2007","M09","September","3.5","JTU000000010000000TSR","Alabama"
"2007","M08","August","4.9","JTU000000010000000TSR","Alabama"
"2007","M07","July","5.0","JTU000000010000000TSR","Alabama"
"2007","M06","June","3.6","JTU000000010000000TSR","Alabama"
"2007","M05","May","4.4","JTU000000010000000TSR","Alabama"
"2007","M04","April","5.1","JTU000000010000000TSR","Alabama"
"2007","M03","March","3.4","JTU000000010000000TSR","Alabama"
"2007","M02","February","3.3","JTU000000010000000TSR","Alabama"
"2007","M01","January","4.6","JTU000000010000000TSR","Alabama"
"2006","M12","December","4.0","JTU000000010000000TSR","Alabama"
"2006","M11","November","3.6","JTU000000010000000TSR","Alabama"
"2006","M10","October","4.1","JTU000000010000000TSR","Alabama"
"2006","M09","September","4.2","JTU000000010000000TSR","Alabama"
"2006","M08","August","6.0","JTU000000010000000TSR","Alabama"
"2006","M07","July","4.8","JTU000000010000000TSR","Alabama"
"2006","M06","June","4.2","JTU000000010000000TSR","Alabama"
"2006","M05","May","4.6","JTU000000010000000TSR","Alabama"
"2006","M04","April","3.8","JTU000000010000000TSR","Alabama"
"2006","M03","March","3.2","JTU000000010000000TSR","Alabama"
"2006","M02","February","3.1","JTU000000010000000TSR","Alabama"
"2006","M01","January","4.0","JTU000000010000000TSR","Alabama"
"2005","M12","December","3.5","JTU000000010000000TSR","Alabama"
"2005","M11","November","2.9","JTU000000010000000TSR","Alabama"
"2005","M10","October","4.7","JTU000000010000000TSR","Alabama"
"2005","M09","September","4.2","JTU000000010000000TSR","Alabama"
"2005","M08","August","5.0","JTU000000010000000TSR","Alabama"
"2005","M07","July","4.8","JTU000000010000000TSR","Alabama"
"2005","M06","June","5.0","JTU000000010000000TSR","Alabama"
"2005","M05","May","4.5","JTU000000010000000TSR","Alabama"
"2005","M04","April","4.0","JTU000000010000000TSR","Alabama"
"2005","M03","March","3.4","JTU000000010000000TSR","Alabama"
"2005","M02","February","3.0","JTU000000010000000TSR","Alabama"
"2005","M01","January","4.4","JTU000000010000000TSR","Alabama"
