"state","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Alabama",-365559.662674844,-133102.316842496,-502784.27512928,-493403.485795021,-585946.01312,-657253.57301504,-336228.99772544,-90250.901222912,-7186.507247375,-7043.587117568,-16127.52873632,-27750.4650071859,-12477.3926478848,-5968.65024656,-30430.9808,-50703.9529107968,-137603.381121659,-170681.709870633,-199046.04032407,-887727.1567616,-2694332.03021812,-3345247.927475,-504684.142083584
"Alaska",-558450733.136556,-363940784.51173,-274882949.062899,-392335734.806678,-455026569.402704,-177595657.875515,-87807073.8933325,-39134879.442285,-13597336.4448191,-3231108.41512325,-2777789.49237872,-8921524.5793664,-12775002.0156251,-20579170.3591353,-46877835.8732962,-52853367.6025786,-31463293.2634102,-73953457.1740022,-176253500.2379,-172850490.518566,-91618590.8639832,-250115527.720978,-37288260.6115144
"Arizona",-1799648.127584,-1063155.270176,-1175168.64112726,-337093.309551507,-841984.3211,-634018.261939712,-3035671.285184,-2161382.3954341,-128412.939949568,-16770.84322814,-22206.0989172032,-16924.8712942592,-135532.524896,-479946.17310848,-357251.452779623,-136093.57525664,-2964308.96730869,-990674.986553792,-439341.10078976,-1123208.59916939,-760379.67961856,-2961096.8388992,-684097.12978202
"Arkansas",-1272226.57695488,-395730.599556608,-488149.4407472,-440406.91796351,-680816.39593868,-1504492.80767101,-801812.826507449,-171858.5144,-40663.7114632479,-10497.510503936,-28815.727681259,-12708.463703552,-19019.1842302976,-53321.9795850752,-56791.606112,-65036.859926624,-320539.685696,-697794.43229527,-816860.595041588,-2583831.04016538,-2387705.81126912,-2716148.54902256,-890466.49809639
"California",-249390.286349005,-73359.5503666112,-73884.703012352,-104021.149324341,-81983.7335960576,-216898.28976716,-70042.3276928,-23157.4790528,-8914.805570672,-1045.497148928,-858.58709617664,-2002.57946515866,-3517.375616,-9180.8160896,-17342.1783489536,-15191.583260624,-7490.96822528,-17527.24326176,-60008.80753664,-828557.9398016,-55568.9237597504,-63602.09945,-8143.810978304
"Colorado",-12311271.9687147,-10139330.073278,-2618618.881472,-4006425.46976,-3971518.06251582,-1457666.71954496,-2784303.6002121,-706562.30798144,-123957.086652109,-68503.7390660863,-20796.98336,-7861.41266624,-340641.708831498,-660783.449024,-1027472.75047117,-4841218.41868682,-211585.446523612,-1047555.90444205,-603746.720950976,-13494758.5348214,-1451836.03983718,-2017436.2037034,-70251.8519154176
"Connecticut",-24102.239336,-5586.256683008,-10170.033488,-20892.196353536,-5103.814708448,-13468.27950368,-14216.443376948,-8320.50281295872,-5894.5191206912,-646.29881216,-57.92561675,-28.346250752,-40.2822738944,-199.5783375596,-174.692651982848,-2233.27647872,-11311.7207336,-453.49281253376,-3592.7644150016,-452461.209913934,-6781.63041032192,-20225.146304,-11215.1370374144
"Delaware",-2293993.246544,-2256392.7180512,-2382020.68085594,-2010436.90083282,-918774.849223232,-2417945.9537263,-1151918.54005233,-636968.3023232,-62388.9568671949,-27845.6800605593,-205079.446162592,-138086.9982944,-122325.993152,-194239.479722569,-709119.827942912,-412239.55748703,-1090020.9776133,-1413891.07582641,-2338729.69846696,-7635067.78339215,-3558355.3119104,-8751409.00756306,-1694090.1712256
"Florida",-2340.43622715392,-151.45024256,-1071.54716096528,-678.04220384,-851.058115999999,-3833.32099575668,-1639.8199808,-93.865831424,-67.268904704,-2.178956388608,-18.9799728128,-11.53042638848,-10.1346050816,-55.7498387456,-13.31218460672,-39.00343542272,-183.9034170368,-272.549866827776,-602.4887936,-10434.24145664,-715.805411420672,-13913.117126,-3701.3840697536
"Georgia",-197339.464809894,-163569.93029269,-531679.805330555,-207623.854498181,-649254.093014528,-5928170.22659042,-2400015.7999808,-732866.151740272,-17900.0178265318,-6179.5576448,-25376.2833362048,-37259.8574637728,-22764.743,-58138.20240128,-240226.057664,-17666.1809949219,-43419.9662222336,-64837.85408,-182797.004178944,-1777382.04267339,-722719.920340644,-1705370.91499002,-637648.60906304
