"state","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Alabama",47.4,44.8,48.6,48.4,49.4,49.6,47.8,43.6,37.9,37.7,39.4,40.8,39,37.3,40.8,42.2,44.6,45.3,45.5,51.2,53.8,54.5,48.5
"Alaska",79.6,76.7,76,77.4,80.2,73.7,71.4,67,62.5,57.6,58.3,61.1,62.5,63.9,67.9,68.4,66.7,70.4,75.6,74.1,71.9,77.7,67.1
"Arizona",53.5,51.2,51.2,47.9,50.4,49.5,54.4,53.6,45.5,39.9,40.7,39.9,44.8,48.5,47.9,45.2,54.7,50.8,48.5,54.1,49.5,54.8,49.8
"Arkansas",51.3,48.3,48.7,48,49.4,51.8,49.9,45.5,41.6,39,41,39.2,40.2,42.7,42.6,43.3,47.5,49.7,50.1,55.4,53.7,53.7,50
"California",46.6,43.1,42.9,43.8,43.2,45.8,42.8,40,38.4,33.8,33.6,34.9,36.2,38,39.5,39.1,37.7,39.3,42.4,55.2,42.4,42.6,37.7
"Colorado",60,58.9,53.6,55.8,55.4,52,54.8,49.3,44.6,43.7,40.3,38.6,48.1,49.1,50.5,56.1,46.6,51.2,49.4,66.7,53.9,52.6,42.9
"Connecticut",40.8,38,38.9,40.7,37.7,39.5,39.5,38.6,37.4,33.6,29.8,28.8,29.9,31.7,32.8,36.1,38.6,33.3,36.5,54.4,38.1,40.3,38.5
"Delaware",54.8,53.9,54.3,53.6,51.1,53.6,52.5,49.2,42.8,40.9,46.1,45.1,45.3,46.2,50.5,48.1,50.7,51.6,53.3,61.1,55.4,58.4,53.2
"Florida",37.6,31.8,35,33.8,33.6,37.1,35.3,30.6,29.7,26.4,28.6,27.5,27.4,29.4,27.6,29.8,31.6,32.5,33.6,41.3,33,39.3,36.8
"Georgia",46,45.2,48.6,45.7,49.3,56.4,53.4,49.3,39.7,37,40.3,41.1,40.1,42.2,46.4,39.8,41.8,42.5,45.3,57,49.3,52.5,48.9
